Kecamatan,Kode Wilayah,Desa
Aluh Aluh,6303012001,Bakambat
Aluh Aluh,6303012002,Tanipah
Aluh Aluh,6303012009,Pemurus
Aluh Aluh,6303012010,Simpang Warga
Aluh Aluh,6303012011,Bunipah
Aluh Aluh,6303012012,Aluh Aluh Besar
Aluh Aluh,6303012013,Aluh Aluh Kecil
Aluh Aluh,6303012014,Podok
Aluh Aluh,6303012015,Handil Bujur
Aluh Aluh,6303012016,Kuin Besar
Aluh Aluh,6303012017,Terapu
Aluh Aluh,6303012019,Labat Muara
Aluh Aluh,6303012022,Pulantan
Aluh Aluh,6303012024,Aluh Aluh Kecil Muara
Aluh Aluh,6303012026,Simpang Warga Dalam
Aluh Aluh,6303012027,Kuin Kecil
Aluh Aluh,6303012028,Handil Baru
Aluh Aluh,6303012030,Balimau
Aluh Aluh,6303012031,Sungai Musang
Kertak Hanyar,6303021001,Kelurahan Kertak Hanyar I
Kertak Hanyar,6303022005,Tatah Pemangkih Laut
Kertak Hanyar,6303022006,Simpang Empat
Kertak Hanyar,6303022007,Sungai Lakum
Kertak Hanyar,6303021008,Kelurahan Manarap Lama
Kertak Hanyar,6303022009,Manarap Baru
Kertak Hanyar,6303022010,Kertak Hanyar II
Kertak Hanyar,6303022014,Pasar Kamis
Kertak Hanyar,6303021015,Kelurahan Mandarsari
Kertak Hanyar,6303022016,Manarap Tengah
Kertak Hanyar,6303022017,Belayung Baru
Kertak Hanyar,6303022021,Banua Hanyar
Kertak Hanyar,6303022022,Mekar Raya
Gambut,6303031001,Kelurahan Gambut
Gambut,6303032002,Sungai Kupang
Gambut,6303032003,Guntung Papuyu
Gambut,6303032004,Makmur
Gambut,6303032005,Tambak Sirang Darat
Gambut,6303032006,Tambak Sirang Laut
Gambut,6303032007,Malintang
Gambut,6303032008,Kayu Bawang
Gambut,6303032009,Banyu Hirang
Gambut,6303032010,Guntung Ujung
Gambut,6303032011,Tambak Sirang Baru
Gambut,6303032012,Malintang Baru
Gambut,6303032013,Keladan Baru
Gambut,6303031014,Kelurahan Gambut Barat
Sungai Tabuk,6303041001,Kelurahan Sungai Lulut
Sungai Tabuk,6303042002,Sungai Bakung
Sungai Tabuk,6303042003,Sungai Tandipah
Sungai Tabuk,6303042004,Lok Baintan
Sungai Tabuk,6303042005,Gudang Hirang
Sungai Tabuk,6303042006,Sungai Pinang Lama
Sungai Tabuk,6303042007,Pembantanan
Sungai Tabuk,6303042008,Pemakuan
Sungai Tabuk,6303042009,Sungai Tabuk Kota
Sungai Tabuk,6303042010,Sungai Tabuk Keramat
Sungai Tabuk,6303042011,Lok Buntar
Sungai Tabuk,6303042012,Gudang Tengah
Sungai Tabuk,6303042013,Pejambuan
Sungai Tabuk,6303042014,Keliling Benteng Ilir
Sungai Tabuk,6303042015,Sungai Pinang Baru
Sungai Tabuk,6303042016,Paku Alam
Sungai Tabuk,6303042017,Lok Baintan Dalam
Sungai Tabuk,6303042018,Pematang Panjang
Sungai Tabuk,6303042019,Sungai Bangkal
Sungai Tabuk,6303042020,Tajau Landung
Sungai Tabuk,6303042021,Abumbun Jaya
Martapura,6303051001,Kelurahan Keraton
Martapura,6303051002,Kelurahan Jawa
Martapura,6303051003,Kelurahan Pasayangan
Martapura,6303051004,Kelurahan Murung Keraton
Martapura,6303051005,Kelurahan Sungai Paring
Martapura,6303052009,Sungai Sipai
Martapura,6303052010,Pasayangan Selatan
Martapura,6303052011,Tanjung Rema
Martapura,6303052012,Bincau
Martapura,6303052013,Murung Kenanga
Martapura,6303052015,Tunggul Irang
Martapura,6303052016,Tambak Baru
Martapura,6303052034,Cindai Alus
Martapura,6303052036,Tungkaran
Martapura,6303052037,Tambak Baru Ulu
Martapura,6303052040,Bincau Muara
Martapura,6303052042,Tunggul Irang Ilir
Martapura,6303052043,Tunggul Irang Ulu
Martapura,6303052051,Labuan Tabu
Martapura,6303052052,Indrasari
Martapura,6303052054,Jawa Laut
Martapura,6303051055,Kelurahan Tanjung Rema Darat
Martapura,6303052056,Pasayangan Utara
Martapura,6303052057,Pasayangan Barat
Martapura,6303052058,Tambak Baru Ilir
Martapura,6303051059,Kelurahan Sekumpul
Karang Intan,6303062001,Kiram
Karang Intan,6303062002,Mandiangin Barat
Karang Intan,6303062003,Karang Intan
Karang Intan,6303062004,Pandak Daun
Karang Intan,6303062005,Jingah Habang Ulu
Karang Intan,6303062006,Mali Mali
Karang Intan,6303062007,Lok Tangga
Karang Intan,6303062008,Lihung
Karang Intan,6303062009,Bi ih
Karang Intan,6303062010,Penyambaran
Karang Intan,6303062011,Sungai Alang
Karang Intan,6303062012,Sungai Asam
Karang Intan,6303062013,Mandikapau Timur
Karang Intan,6303062014,Awang Bangkal Barat
Karang Intan,6303062015,Awang Bangkal Timur
Karang Intan,6303062016,Sungai Besar
Karang Intan,6303062017,Mandiangin Timur
Karang Intan,6303062018,Pasar Lama
Karang Intan,6303062019,Jingah Habang Ilir
Karang Intan,6303062020,Sungai Arfat
Karang Intan,6303062021,Padang Panjang
Karang Intan,6303062022,Sungai Landas
Karang Intan,6303062023,Abirau
Karang Intan,6303062024,Pulau Nyiur
Karang Intan,6303062025,Mandikapau Barat
Karang Intan,6303062026,Balau
Astambul,6303072001,Pingaran Ilir
Astambul,6303072002,Jati Baru
Astambul,6303072003,Pasar Jati
Astambul,6303072004,Danau Salak
Astambul,6303072005,Tambak Danau
Astambul,6303072006,Kaliukan
Astambul,6303072007,Sungai Alat
Astambul,6303072008,Pingaran Ulu
Astambul,6303072009,Astambul Kota
Astambul,6303072010,Astambul Seberang
Astambul,6303072011,Sungai Tuan Ulu
Astambul,6303072012,Banua Anyar Sungai Tuan
Astambul,6303072013,Kelampaian Ilir
Astambul,6303072014,Kelampaian Ulu
Astambul,6303072015,Limamar
Astambul,6303072016,Lok Gabang
Astambul,6303072017,Pematang Hambawang
Astambul,6303072018,Kelampaian Tengah
Astambul,6303072019,Tambangan
Astambul,6303072020,Banua Anyar Danau Salak
Astambul,6303072021,Sungai Tuan Ilir
Astambul,6303072022,Munggu Raya
Simpang Empat,6303082005,Paku
Simpang Empat,6303082006,Simpang Empat
Simpang Empat,6303082007,Lok Cantung
Simpang Empat,6303082008,Tanah Intan
Simpang Empat,6303082009,Sungai Raya
Simpang Empat,6303082010,Sungkai
Simpang Empat,6303082011,Sungai Langsat
Simpang Empat,6303082014,Lawiran
Simpang Empat,6303082017,Batu Balian
Simpang Empat,6303082018,Cabi
Simpang Empat,6303082019,Berkat Mulya
Simpang Empat,6303082021,Sungkai Baru
Simpang Empat,6303082022,Paring Tali
Simpang Empat,6303082025,Pasar Lama
Simpang Empat,6303082026,Sungai Tabuk
Pengarom,6303092001,Maniapun
Pengarom,6303092002,Lok Tunggul
Pengarom,6303092003,Lobang Baru
Pengarom,6303092004,Pengaron
Pengarom,6303092005,Benteng
Pengarom,6303092006,Ati'im
Pengarom,6303092007,Alimukim
Pengarom,6303092008,Panyiuran
Pengarom,6303092009,Antaraku
Pengarom,6303092010,Mangkauk
Pengarom,6303092015,Kertak Empat
Pengarom,6303092018,Lumpangi
Sungai Pinang,6303102001,Kupang Rejo
Sungai Pinang,6303102002,Sungai Pinang
Sungai Pinang,6303102003,Kahelaan
Sungai Pinang,6303102004,Rantau Nangka
Sungai Pinang,6303102005,Rantau Bakula
Sungai Pinang,6303102006,Belimbing Lama
Sungai Pinang,6303102010,Sumber Baru
Sungai Pinang,6303102011,Belimbing Baru
Sungai Pinang,6303102012,Pakutik
Sungai Pinang,6303102013,Sumber Harapan
Sungai Pinang,6303102015,Hakim Makmur
Aranio,6303112001,Tiwingan Lama
Aranio,6303112002,Kalaan
Aranio,6303112003,Benua Riam
Aranio,6303112004,Bunglai
Aranio,6303112005,Apuai
Aranio,6303112006,Rantau Bujur
Aranio,6303112007,Artain
Aranio,6303112008,Rantau Balai
Aranio,6303112009,Tiwingan Baru
Aranio,6303112010,Belangian
Aranio,6303112011,Aranio
Aranio,6303112012,Pa'au
Mataraman,6303122001,Baru
Mataraman,6303122002,Bawahan Pasar
Mataraman,6303122003,Bawahan Seberang
Mataraman,6303122004,Pematang Danau
Mataraman,6303122005,Surian
Mataraman,6303122006,Mataraman
Mataraman,6303122007,Simpang Tiga
Mataraman,6303122008,Bawahan Selan
Mataraman,6303122009,Takuti
Mataraman,6303122010,Pasiraman
Mataraman,6303122011,Lok Tamu
Mataraman,6303122012,Sungai Jati
Mataraman,6303122013,Mangkalawat
Mataraman,6303122014,Gunung Ulin
Mataraman,6303122015,Tanah Abang
Beruntung Baru,6303132001,Pindahan Baru
Beruntung Baru,6303132002,Handil Purai
Beruntung Baru,6303132003,Kampung Baru
Beruntung Baru,6303132004,Lawahan
Beruntung Baru,6303132005,Babirik
Beruntung Baru,6303132006,Jambu Burung
Beruntung Baru,6303132007,Tambak Padi
Beruntung Baru,6303132008,Haur Kuning
Beruntung Baru,6303132009,Jambu Raya
Beruntung Baru,6303132010,Rumpiang
Beruntung Baru,6303132011,Salat Makmur
Beruntung Baru,6303132012,Muara Halayung
Martapura Barat,6303142001,Teluk Selong
Martapura Barat,6303142002,Sungai Batang
Martapura Barat,6303142003,Sungai Batang Ilir
Martapura Barat,6303142004,Sungai Rangas
Martapura Barat,6303142005,Penggalaman
Martapura Barat,6303142006,Keliling Benteng Ulu
Martapura Barat,6303142007,Antasan Sutun
Martapura Barat,6303142008,Sungai Rangas Ulu
Martapura Barat,6303142009,Sungai Rangas Hambuku
Martapura Barat,6303142010,Keliling Benteng Tengah
Martapura Barat,6303142011,Teluk Selong Ulu
Martapura Barat,6303142012,Tangkas
Martapura Barat,6303142013,Sungai Rangas Tengah
Martapura Timur,6303152001,Pekauman
Martapura Timur,6303152002,Keramat
Martapura Timur,6303152003,Antasan Senor
Martapura Timur,6303152004,Tambak Anyar
Martapura Timur,6303152005,Melayu
Martapura Timur,6303152006,Melayu Ilir
Martapura Timur,6303152007,Akar Bagantung
Martapura Timur,6303152008,Dalam Pagar
Martapura Timur,6303152009,Tambak Anyar Ulu
Martapura Timur,6303152010,Pematang Baru
